second,person_in_zone
0,5
0,5
0,4
0,4
0,4
0,4
0,5
0,6
0,5
0,5
0,5
0,6
0,6
0,4
0,5
0,7
0,6
0,7
0,7
0,6
0,6
0,6
0,5
0,4
0,4
0,6
0,5
0,5
0,5
1,5
1,4
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,4
1,5
1,4
1,4
1,5
1,4
1,5
1,6
1,5
1,5
1,4
1,4
1,5
1,5
1,4
1,4
1,4
1,3
2,4
2,3
2,4
2,4
2,4
2,4
2,5
2,5
2,6
2,5
2,5
2,5
2,5
2,4
2,3
2,3
2,3
2,4
2,3
2,4
2,4
2,4
2,4
2,5
2,4
2,4
2,4
2,4
2,4
2,4
3,5
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,5
3,5
3,5
3,5
3,5
3,5
3,5
3,5
3,5
3,5
3,5
3,5
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,6
4,5
4,6
4,6
4,6
4,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,5
4,5
4,5
4,5
5,6
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,6
6,6
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,5
6,6
6,5
6,5
6,5
6,5
6,5
6,5
6,6
7,6
7,5
7,5
7,5
7,6
7,6
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
8,5
8,5
8,5
8,5
8,6
8,5
8,5
8,5
8,5
8,5
8,5
8,5
8,7
8,6
8,5
8,5
8,5
8,5
8,6
8,5
8,5
8,6
8,6
8,6
8,6
8,6
8,5
8,5
8,4
8,5
9,5
9,5
9,5
9,5
9,5
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,5
9,5
9,5
9,5
9,4
9,4
9,5
9,5
9,6
9,5
9,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
